,Date,Team1,Team2,Team1_id,Team2_id,Winning_team_id,cancelled_match,floodlit,innings1_ball_limit,innings2_ball_limit,innings1_over_limit,innings2_over_limit,innings1_runs,innings2_runs,innings1_wickets,innings2_wickets,innings1_run_rate,innings2_run_rate
0,"Dec 6, 2017",Hong Kong,Papua New Guinea,19,19,20,N,1,300,300,50.0,50.0,230,207,8,10,4.6,4.4
1,"Dec 8, 2017",Hong Kong,Papua New Guinea,19,19,20,N,1,300,300,50.0,50.0,323,230,4,10,6.46,5.43
2,"Jun 10, 2018",Scotland,England,30,30,1,N,1,300,300,50.0,50.0,371,365,5,10,7.42,7.47
3,"Dec 5, 2017",Afghanistan,Ireland,40,40,29,N,2,300,300,50.0,50.0,238,100,9,10,4.76,3.15
4,"Dec 7, 2017",Afghanistan,Ireland,29,40,29,N,2,300,300,50.0,50.0,271,220,9,10,5.42,4.85
5,"Dec 10, 2017",Afghanistan,Ireland,29,40,29,N,2,300,300,50.0,50.0,177,180,10,5,3.66,4.73
6,"Nov 24, 2017",Papua New Guinea,Scotland,30,20,30,N,1,300,300,50.0,50.0,147,148,10,4,3.31,3.87
7,"Nov 25, 2017",Papua New Guinea,Scotland,30,20,30,N,1,300,300,50.0,50.0,192,196,8,6,3.84,4.23
